candidate_id,expression_hash,run,source_round,generator_arm,generator_route,source_generator,source_lane,factor_lane,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,phase3ca_proxy_quality,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,seed,round_id,parent_id,mutation_type,blocker_flags,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0,parallel_chunk_id
phase3cp_01643,fc12984afe627558122b4dfe,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.25108904,0.04271612,0.04271612,0.55980257,0.48,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2)))))",-0.42425933,-0.16469371,-0.16469371,-0.34507054,-0.10553268,0.1503616,-0.30648713,0.18,0.7981503,-0.27513263,0.12666667,-0.52948527,0.00166667,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.12666667,0.00166667,2
phase3cp_01075,2863dbbcffa9160481016d66,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,58e96b3c5768b1f2ae,bae8f4d632a76f6fbf,001fad07e450,0.23490533,0.03798402,0.03798402,0.55317763,0.34,close|ctx_ths_hot_rank_diff|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_rank_diff,60,0.8)),30)))",-0.43838783,-0.35466757,-0.35466757,-0.62421211,-0.34755506,0.1997064,-0.41597943,0.00333333,0.555429,-0.6002441,0,-0.41270575,0.025,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.0,0.025,4
phase3cp_00318,5482faac3510e70420708da5,search_outputs,turnover_aware_fresh/round1_scheduler_controlled,turnover_aware_fresh,phase3cw-turnover-aware,phase3cp_turnover_aware_fresh_from_co,phase3cp_turnover_aware_fresh_from_co,turnover_aware::rx_range_location::inverted_smooth20,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,7f34e6c754af2f92f5,5ce604b66278d3108b,8ec43f251d60,0.23835619,0.03899305,0.03899305,0.55459027,0.28,high|low|open,"Neg(CSRank(Mean(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30)),20)))",-0.46300468,-0.3369398,-0.3369398,-0.7726221,-0.402285,0.29382435,-0.42266134,0.02333333,0.50507664,-0.49793177,0.005,-0.74518385,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,turnover_aware_fresh/round1_scheduler_controlled,,,,0.005,0.0,2
phase3cp_01053,82165ac6e7415243af71df98,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,5ad681cd2fc8aac270,8de02f554504a20d81,f3657ed5f8ae,0.23490533,0.03798402,0.03798402,0.55317763,0.34,close|ctx_ths_hot_circulation_value|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),15),2),Mean(CSRank(MaskedZScore($ctx_ths_hot_circulation_value,60,0.8)),30)))",-0.4771113,-0.36574874,-0.36574874,-0.7336674,-0.37515817,0.2567833,-0.42447961,0,0.5601823,-0.63157244,0,-0.50738555,0.00333333,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.0,0.00333333,4
phase3cp_00304,914c0714c4023931750d4ac3,search_outputs,turnover_aware_fresh/round1_scheduler_controlled,turnover_aware_fresh,phase3cw-turnover-aware,phase3cp_turnover_aware_fresh_from_co,phase3cp_turnover_aware_fresh_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,ecb91925a1b4540e73,25a10688bacf2caa67,3ce2ec210356,0.23843015,0.03901456,0.03901456,0.55462038,0.28,close|ctx_ths_hot_last_price|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_last_price,60,0.8)),30)))",-0.4796333,-0.41751801,-0.41751801,-0.62158588,-0.4044174,0.17068196,-0.47300962,0,0.41854174,-0.52356971,0,0.21904337,0.62,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,turnover_aware_fresh/round1_scheduler_controlled,,,,0.0,0.62,3
phase3cp_01885,35d68a417de0a0e8b3131b0d,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_intraday_return::rx_opening_amount::product,flow_amount_volume+intraday_return+opening_state,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9fce62a3b017125aed,e3696ce0ae93cba3fe,3b3400fef51a,0.23060402,0.03672642,0.03672642,0.55141699,0.42,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,10)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.5065979,-0.20028791,-0.20028791,-0.63314538,-0.18515074,0.25951136,-0.29596089,0.09833333,0.7886147,-0.61291589,0,-0.01986647,0.47166667,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.0,0.47166667,3
phase3cp_01150,bd8586c01e977f6d606278d8,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware::rx_range_location::smooth20,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,9489f7c1a798a38673,82a1aeb9cc2396399a,befbba5564bf,0.23484946,0.03796758,0.03796758,0.55315461,0.34,high|low|open,"CSRank(Mean(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30)),20))",-0.52813007,-0.41740557,-0.41740557,-0.80156947,-0.43944954,0.23736257,-0.49082317,0,0.50555505,-0.4912851,0.00166667,-0.63469874,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.00166667,0.0,2
phase3cp_00557,f5315044913d05b2a77b2985,search_outputs,turnover_aware_fresh/round1_scheduler_controlled,turnover_aware_fresh,phase3cw-turnover-aware,phase3cp_turnover_aware_fresh_from_co,phase3cp_turnover_aware_fresh_from_co,turnover_aware_interaction::rx_opening_divergence::coverage_guarded_context::slow_spread,opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,low_turnover,061ffc47bec319b30a,83f08b744227bc49f0,fa3e6e83d087,0.2374236,0.03872046,0.03872046,0.55420864,0.28,ctx_ths_hot_last_price|m1_first15_last_close|open,"CSRank(Sub(Delay(Mean(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_last_price,60,0.8)),30)))",-0.59372501,-0.36796683,-0.36796683,-0.69867398,-0.31213817,0.24558503,-0.45539178,0.00833333,0.71746187,-0.36566895,0.04333333,-0.57203157,0.00833333,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,turnover_aware_fresh/round1_scheduler_controlled,,,,0.04333333,0.00833333,3
phase3cp_00448,28c0ee1a8e051a251742b499,search_outputs,turnover_aware_fresh/round1_scheduler_controlled,turnover_aware_fresh,phase3cw-turnover-aware,phase3cp_turnover_aware_fresh_from_co,phase3cp_turnover_aware_fresh_from_co,turnover_aware_interaction::rx_opening_divergence::coverage_guarded_context::slow_product,opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,low_turnover,ff7ad79c33cbd57293,ed4cfcfa44e38397fd,10feec5676e7,0.23758888,0.03876858,0.03876858,0.55427602,0.28,ctx_ths_hot_rank_diff|m1_first5_last_close|open,"CSRank(Mul(Delay(Mean(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_rank_diff,60,0.8)),30)))",-0.60591654,-0.34409023,-0.34409023,-0.77967668,-0.28768991,0.28235915,-0.4145848,0.01,0.73510771,-0.56418253,0.00166667,-0.550202,0.005,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,turnover_aware_fresh/round1_scheduler_controlled,,,,0.00166667,0.005,2
phase3cp_01887,69bbd4b434d9104a463ac8fe,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_intraday_return::rx_opening_amount::product,flow_amount_volume+intraday_return+opening_state,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9fce62a3b017125aed,e3696ce0ae93cba3fe,3b3400fef51a,0.22817712,0.03601661,0.03601661,0.55042325,0.42,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,20)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.62189344,-0.33788319,-0.33788319,-0.72543703,-0.29066955,0.24718635,-0.42511566,0.005,0.77623373,-0.65224652,0,-0.47988958,0.015,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.0,0.015,4
phase3cp_01005,0acf864a9f9cbf78ec5e36ee,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_product,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,328f06dcfc2aa05188,6f1d5b25e7bb15d9af,8189e28190be,0.23506876,0.03803174,0.03803174,0.55324444,0.34,close|ctx_ths_hot_last_price|high|low,"CSRank(Mul(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),15),2),Mean(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)),30)))",-0.65637849,-0.39487467,-0.39487467,-0.78636516,-0.36781735,0.27698574,-0.4559284,0,0.75189394,-0.65996403,0,-0.6837789,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.0,0.0,1
phase3cp_01495,572bb20acd4e4aee6f6fb492,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,cem_atom::rx_intraday_price_location::inverted,generic_price_volume,cross_sectional+time_series+state_transform,none,multi_or_unknown,medium_turnover,f743f91e1567ee728d,047052deeb7205395d,d0b214ca2516,0.22927749,0.04028576,0.04028576,0.55640007,0.58,vwap,"Neg(CSRank(ZScore(Delta($vwap,30))))",-0.69772102,-0.46246622,-0.46246622,-0.82962797,-0.41844085,0.2544889,-0.52290052,0,0.72517001,-0.65381765,0,-0.5601023,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.0,0.0,1
phase3cp_01637,754b01bbb80d7c1bde2af5d0,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_interaction::rx_opening_amount::rx_intraday_price_location::spread,flow_amount_volume+opening_state,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,ac3a954b835eef6c1b,8a031527923e573d6a,52ab04591c02,0.25388385,0.04353338,0.04353338,0.56094673,0.48,amount|m1_first5_amount|vwap,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,10))))",-0.71047452,-0.4534201,-0.4534201,-0.86878381,-0.44358966,0.30188215,-0.51851407,0,0.73692627,-0.73566538,0,-0.67769991,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.0,0.0,4
phase3cp_01484,7bd665d18ddba2857270627d,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,cem_interaction::rx_opening_amount::rx_intraday_price_location::product,flow_amount_volume+opening_state,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,ecbe996d8188ffaa8c,df5e1a55fe4c2cc111,626403c0af92,0.23374516,0.0415922,0.0415922,0.55822908,0.58,amount|m1_first5_amount|vwap,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($vwap,15))))",-0.71425798,-0.47120794,-0.47120794,-0.85612474,-0.42839264,0.27444276,-0.53954849,0,0.72753697,-0.6242315,0,-0.58400626,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.0,0.0,2
