phase3bk_rank,decision_tier,expression_hash,candidate_ids,best_horizon_min,factor_lane,fields,max_directional_robust_score,mean_directional_robust_score,best_ic_mean_median,best_ic_direction_share,best_spread_mean,horizon_pass_count,exact_memory_hit,memory_hit_any_in_bj,fresh_eligible_any,family_crowding_count,ops_crowding_count,metric_cluster_id,metric_cluster_size,expression_family_hash,ops_signature,expression
28,bk_watchlist,083493078d5c5c665bf39113,phase3bj_large_1min_010472,5,pure_fresh_cross,amount|close|m1_first30_vwap|m1_first5_amount,0.04871852571,0.04374615247,0.04871852571,1,0.0001970957795,4,false,false,true,1,1,bk_metric_001,57,a7478b5bcfabfea463948b04,CSRank>Sub>ZScore>Div>Sub>Add>Abs>ZScore>Sub>ZScore>ZScore>Mean,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore($m1_first5_amount),ZScore(Mean($amount,30))))))"
29,bk_watchlist,8546ce960e1665f2453ea15d,phase3bj_large_1min_012222,5,pure_fresh_cross,close|m1_first30_vwap|volume,0.04858568532,0.04353906561,0.04858568532,1,0.0001560791132,4,false,false,true,2,2,bk_metric_001,57,4b08dbcb9d89faf37cedda44,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,45))))),0.000001)))"
30,bk_watchlist,b7f88f62ccc3d0301dbc86cd,phase3bj_large_1min_006366,30,pure_fresh_cross,amount|close,0.04856091291,0.03394718892,0.04856091291,1,0.0001974399047,3,false,false,true,3,3,bk_metric_001,57,10a06c6f2c6535bf6d926c30,CSRank>Sub>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,30)),Neg(ZScore(Delta($close,30))))),ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))))"
31,bk_watchlist,60ee4dd67606a55997e87a49,phase3bj_large_1min_009923,30,pure_fresh_cross,close|volume|vwap,0.04848303817,0.03285400503,-0.04848303817,1,-0.000205868045,2,false,false,true,3,3,bk_metric_001,57,07eaef059f8c0d09fbd0cdb0,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Delta>Add>Abs>Add,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Div(Delta($volume,5),Add(Abs(Add(Std($vwap,5),0.000001)),0.000001)))),0.000001)))"
32,bk_watchlist,801b15138c021e481c6dca47,phase3bj_large_1min_012843,5,pure_fresh_cross,amount|close|m1_first15_vwap,0.04847748258,0.04465453734,0.04847748258,1,0.0002088540707,4,false,false,true,2,2,bk_metric_001,57,a0ff8c918ca120972416e7d6,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Mean($amount,1)),ZScore(Mean($amount,30))))))"
33,bk_watchlist,f80fa77fb11d489041f7e9d6,phase3bj_large_1min_011262,1,pure_fresh_cross,close|m1_first30_vwap|m1_first5_vwap|vwap,0.04813408105,0.04463025165,0.04813408105,1,0.0001784567589,4,false,false,true,1,1,bk_metric_001,57,4e61860220e465fa0b4f4178,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Sub>Add>Abs,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Sub($m1_first30_vwap,$vwap),Add(Abs($vwap),0.000001)))),0.000001)))"
34,bk_watchlist,79d3068fbb4e304eb5fbee48,phase3bj_large_1min_012338,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04786376439,0.04283074486,0.04786376439,1,0.0001758273572,4,false,false,true,2,2,bk_metric_001,57,6e9a9f8b8464caafe923f089,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Delta>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,8),Add(Abs(Mean($amount,45)),0.000001)))),0.000001)))"
35,bk_watchlist,e6e4bf658dfbc6d0107eea72,phase3bj_large_1min_009871,30,pure_fresh_cross,amount|close,0.04778397869,0.03268022967,-0.04778397869,1,-0.0001352829078,2,false,false,true,3,3,bk_metric_001,57,07eaef059f8c0d09fbd0cdb0,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Delta>Add>Abs>Add,"CSRank(Div(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001)))),0.000001)))"
36,bk_watchlist,3305abde18536e10bc127cee,phase3bj_large_1min_010824,5,pure_fresh_cross,amount|close|m1_first5_vwap,0.04776994182,0.04426409672,0.04776994182,1,0.0002065347788,4,false,false,true,1,1,bk_metric_001,57,998c4e2f2b4123c8abd183c9,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Mean>Add>Abs>Add>Std,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Mean($amount,8),Add(Abs(Add(Std($close,8),0.000001)),0.000001)))),0.000001)))"
37,bk_watchlist,6988b8be922794ac01efabc2,phase3bj_large_1min_011100,5,pure_fresh_cross,close|m1_first30_vwap|volume,0.04757771041,0.04293297882,0.04757771041,1,0.0002127932188,4,false,false,true,2,2,bk_metric_001,57,2507db81f1a8dda28a000a64,CSRank>Add>ZScore>Sub>ZScore>Mean>ZScore>Mean>ZScore>Div>Sub>Add>Abs,"CSRank(Add(ZScore(Sub(ZScore(Mean($volume,1)),ZScore(Mean($volume,10)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
