"rel_path","size_bytes","has_error_token","tail"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0006_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0006_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0007_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0007_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0008_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0008_stdout.log","2744","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0009_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0009_stdout.log","2731","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0010_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0010_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0011_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0011_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0012_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0012_stdout.log","2744","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0013_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0013_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0014_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0014_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0015_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0015_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0016_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0016_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0017_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0017_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0018_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0018_stdout.log","2744","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0019_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0019_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0020_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0020_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0021_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0021_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0022_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0022_stdout.log","2731","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0023_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0023_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0024_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0024_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0025_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0025_stdout.log","2775","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0026_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0026_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0027_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0027_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0028_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0028_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0029_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0029_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0030_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0030_stdout.log","2744","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0031_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0031_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0032_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0032_stdout.log","2744","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0033_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0033_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0034_stderr.log","0","False",""
