behavior_cluster_id,candidate_id,clock_namespace,control_candidate_id,pair_id,performance_selected,policy_id,preflight_ordinal,route_id,seed,skeleton_id
4611,cn.comp.0015774e241b02955f6e,stock_session,cn.comp.0015774e241b02955f6e.control,cn.pair.3d20fb3fda1468e9123041ef2a74be10,False,evolutionary_mutation,23,SLOW_CROSS_SECTIONAL_LEVEL,1729,cn.comp.v2.slow_cross_sectional_level.fundamental_ratio
4618,cn.comp.00429cca3245137b3eac,stock_session,cn.comp.00429cca3245137b3eac.control,cn.pair.8d4f05326fc4272cf3643e98fc0dfce4,False,diversity_preserving_cem,24,SLOW_CROSS_SECTIONAL_LEVEL,2718,cn.comp.v2.slow_cross_sectional_level.cross_family_interaction
4698,cn.comp.026dedc07bee4100e5da,stock_session,cn.comp.026dedc07bee4100e5da.control,cn.pair.d494112aeb0567fe2ce4fa9ba4cda88f,False,stratified_typed_random,25,SLOW_CROSS_SECTIONAL_LEVEL,65537,cn.comp.v2.slow_cross_sectional_level.masked_normalized_level
4856,cn.comp.0779dca10a25f909fdfb,stock_session,cn.comp.0779dca10a25f909fdfb.control,cn.pair.55c5408d938e797b000e5fd56dd18fb2,False,uct_ucb_structural_search,26,SLOW_CROSS_SECTIONAL_LEVEL,31415,cn.comp.v2.slow_cross_sectional_level.fundamental_residual
4629,cn.comp.008579c79a021575795b,stock_session,cn.comp.008579c79a021575795b.control,cn.pair.ec87c7f7d263bd50cd4d300ecf96955e,False,evolutionary_mutation,27,SLOW_CROSS_SECTIONAL_LEVEL,2718,cn.comp.v2.slow_cross_sectional_level.size_residual_level
4613,cn.comp.00370e431906c55f4ef4,stock_session,cn.comp.00370e431906c55f4ef4.control,cn.pair.327d8e727a4f72e1ef3866c8109b480e,False,stratified_typed_random,28,SLOW_TEMPORAL_CHANGE,31415,cn.comp.v2.slow_temporal_change.change_level_interaction
4623,cn.comp.00510669da4fe8efda26,stock_session,cn.comp.00510669da4fe8efda26.control,cn.pair.33ba416831620eb93eee819ffa63dce2,False,diversity_preserving_cem,29,SLOW_TEMPORAL_CHANGE,2718,cn.comp.v2.slow_temporal_change.acceleration
4647,cn.comp.010d4892f77a348fa246,stock_session,cn.comp.010d4892f77a348fa246.control,cn.pair.f10b38da40de8a201e7f0d24ae946b1c,False,uct_ucb_structural_search,30,SLOW_TEMPORAL_CHANGE,1729,cn.comp.v2.slow_temporal_change.change_persistence
4692,cn.comp.0256313a154bde772278,stock_session,cn.comp.0256313a154bde772278.control,cn.pair.a7ed26cb6199441825cfb80baf86b93f,False,evolutionary_mutation,31,SLOW_TEMPORAL_CHANGE,65537,cn.comp.v2.slow_temporal_change.slope
4624,cn.comp.00639bdf7d3958113fbe,stock_session,cn.comp.00639bdf7d3958113fbe.control,cn.pair.6b25ec213012d5defbabf4dde3b3422f,False,stratified_typed_random,32,SLOW_TEMPORAL_CHANGE,2718,cn.comp.v2.slow_temporal_change.cross_change_interaction
