field_ordinal,field_name,parquet_dtype,nullable,typed_category,field_group,search_route,availability_contract,direct_formula_allowed,typed_search_allowed,primitive_policy,contract_source,verification
51,ctx_ths_hot_rank_diff,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
52,ctx_ths_hot_last_pct,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
53,ctx_ths_hot_last_price,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
54,ctx_ths_hot_circulation_value,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
55,ctx_rzrq_rzye,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
56,ctx_rzrq_rqye,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
57,ctx_rzrq_rzrqye,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
58,ctx_rzrq_rzyezb,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
59,ctx_rzrq_rzmre,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
60,ctx_rzrq_rzche,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
61,ctx_rzrq_rzjme,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
62,ctx_rzrq_rqyl,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
63,ctx_billboard_deal_amount_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
64,ctx_billboard_billboard_deal_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
65,ctx_billboard_billboard_net_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
66,ctx_billboard_billboard_buy_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
67,ctx_billboard_billboard_sell_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
68,ctx_billboard_deal_net_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
69,ctx_billboard_accum_amount,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
70,ctx_billboard_turnoverrate,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
71,ctx_billboard_buy_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
72,ctx_billboard_sell_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
73,ctx_billboard_sum_buy_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
74,ctx_billboard_sum_sell_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
75,ctx_billboard_net_bs_amt,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
76,ctx_holder_holder_num,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
77,ctx_holder_holder_num_change,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
78,ctx_holder_holder_num_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
79,ctx_holder_avg_market_cap,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
80,ctx_holder_avg_hold_num,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
81,ctx_hfq_turnover_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
82,ctx_hfq_volume_ratio,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
83,ctx_hfq_is_st,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
84,ctx_hfq_prev_is_limit_up,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
85,ctx_hfq_market_cap_yuan,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
86,ctx_hfq_float_market_cap_yuan,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
87,ctx_hfq_pe_ttm,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
88,ctx_hfq_pb,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
89,ctx_hfq_ps_ttm,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
90,ctx_sent_uplimit_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
91,ctx_sent_downlimit_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
92,ctx_sent_up_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
93,ctx_sent_down_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
94,ctx_sent_zb_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
95,ctx_sent_lb_2_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
96,ctx_sent_lb_3_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
97,ctx_sent_max_lb_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
98,ctx_sent_mian_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
99,ctx_sent_tiandi_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
100,ctx_sent_ditian_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
101,ctx_sent_damian_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
102,ctx_sent_gt5_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
103,ctx_sent_lt5_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
104,ctx_sent_lb_h_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
105,ctx_zls_df_num,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
106,ctx_zls_lbgd,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
107,ctx_zls_strong,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
108,ctx_zls_ztjs,float,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
109,evt_uplimit_cutoff_minute,float,true,timestamp_or_key,event_state,event_metadata_only,same_day_after_evt_uplimit_cutoff_minute,false,false,not_a_feature,phase3cs_sidecar_field_contract,same_day_cutoff_masked
110,evt_uplimit_amount,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
111,evt_uplimit_auction_buy,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
112,evt_uplimit_auction_money,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
113,evt_uplimit_auction_offer,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
114,evt_uplimit_auction_pre1max_ratio,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
115,evt_uplimit_auction_turnover,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
116,evt_uplimit_fd_close,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
117,evt_uplimit_fd_max,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
118,evt_uplimit_up_limit_keep_times,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
119,evt_uplimit_type_code,float,true,sparse_event,event_state,typed_event_state,same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_sidecar_field_contract,same_day_cutoff_masked
120,evt_uplimit_active,float,true,sparse_event,event_state,typed_event_state,derived_same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_derived_event_lifecycle,same_day_cutoff_masked
121,evt_uplimit_age_min,float,true,sparse_event,event_state,typed_event_state,derived_same_day_after_evt_uplimit_cutoff_minute,false,true,event_primitive_required,phase3cs_derived_event_lifecycle,same_day_cutoff_masked
