field_uid,field_name,record_kind,data_family,source_table,source_field,entity_scope,semantic_role,field_role,pit_status,materialization_status,search_status,recommended_routes,information_status,information_qualified,core_pack_selected,coverage,sample_unique,normalized_entropy,temporal_change_rate,semantic_support_group,qualification_state,qualification_reason,raw_generator_exposure,blocked_reason
capability::broad_event_b22d9565d0b39241,broad_event_b22d9565d0b39241,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,HOTNESS_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_cf70889cec0c77df,broad_event_cf70889cec0c77df,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,BILLBOARD_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_d42c0973350238e0,broad_event_d42c0973350238e0,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::chip_cost_p05,chip_cost_p05,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p05,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,1636,0.9995030026667107,0.17101386023243947,CHIP::chip_distribution,,,,
capability::chip_cost_p15,chip_cost_p15,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p15,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,1776,0.9995995446719343,0.21052657775803116,CHIP::chip_distribution,,,,
capability::chip_cost_p50,chip_cost_p50,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p50,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,1878,0.9996657464838563,0.2369977145863045,CHIP::chip_distribution,,,,
capability::chip_cost_p85,chip_cost_p85,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p85,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,1988,0.9995638142748126,0.19595274296797802,CHIP::chip_distribution,,,,
capability::chip_cost_p95,chip_cost_p95,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p95,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,2021,0.999880905253802,0.16620018798863684,CHIP::chip_distribution,,,,
capability::chip_cost_weighted_mean,chip_cost_weighted_mean,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_weighted_mean,STOCK,interaction-only,interaction-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,1.0,14600,0.9999983777124625,0.784757202301551,CHIP::chip_distribution,,,,
capability::chip_historical_high,chip_historical_high,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_historical_high,STOCK,benchmark-only,benchmark-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,1.0,1383,0.9998868543740768,0.0022212313989225757,CHIP::chip_distribution,,,,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE
capability::chip_historical_low,chip_historical_low,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_historical_low,STOCK,benchmark-only,benchmark-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,0.9968532868882071,757,0.996246320435698,0.004115378823774276,CHIP::chip_distribution,,,,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE
capability::chip_profit_ratio,chip_profit_ratio,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_profit_ratio,STOCK,condition-only,condition-only,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,1.0,10000,0.9999998758034908,0.9978018218341361,CHIP::chip_distribution,,,,ROLE_CONDITION_ONLY_NOT_PAYLOAD_ELIGIBLE
capability::close,close,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,close,STOCK,primary,primary,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,EVALUATED_DEVELOPMENT_ONLY,True,False,1.0,11004,0.9999993175791951,0.9420409953935022,TRUE1MIN::raw_1min,,,,
capability::code,code,CAPABILITY_FIELD,metadata,true1min_augmented_panel,code,STOCK,blocked,blocked,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,METADATA_OR_SEARCH_BLOCKED,False,False,,,,,,,,,identifier/label/clock metadata is not a searchable feature
capability::ctx_billboard_accum_amount,ctx_billboard_accum_amount,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_accum_amount,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1218,0.9999877356869208,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_billboard_billboard_buy_amt,ctx_billboard_billboard_buy_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_buy_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1218,0.9999743207571727,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_deal_amt,ctx_billboard_billboard_deal_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_deal_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1218,0.9999924784689017,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_net_amt,ctx_billboard_billboard_net_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_net_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1214,0.9999853500982813,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_sell_amt,ctx_billboard_billboard_sell_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_sell_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011958673398604992,1216,0.9999818308000874,0.23020833333333332,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_buy_ratio,ctx_billboard_buy_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_buy_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1213,0.9999338670776277,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_billboard_deal_amount_ratio,ctx_billboard_deal_amount_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_amount_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1215,0.9999837642961908,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_billboard_deal_net_ratio,ctx_billboard_deal_net_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_net_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1214,0.9999948498317177,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_billboard_net_bs_amt,ctx_billboard_net_bs_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_net_bs_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011958673398604992,1212,0.9999833721246549,0.23020833333333332,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_sell_ratio,ctx_billboard_sell_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sell_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011958673398604992,1212,0.9999753980080921,0.23020833333333332,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_billboard_sum_buy_amt,ctx_billboard_sum_buy_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_buy_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1218,0.9999743207571727,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_sum_sell_amt,ctx_billboard_sum_sell_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_sell_amt,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011958673398604992,1216,0.9999818308000874,0.23020833333333332,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_turnoverrate,ctx_billboard_turnoverrate,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_turnoverrate,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,False,False,0.011965691082628911,1218,0.999991688033081,0.22972972972972974,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_hfq_float_market_cap_yuan,ctx_hfq_float_market_cap_yuan,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_float_market_cap_yuan,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,91088,0.9999999981555261,0.44040569278586617,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_is_st,ctx_hfq_is_st,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_is_st,STOCK,condition-only,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MARKET_REGIME_CONDITION,EVALUATED_DEVELOPMENT_ONLY,False,False,0.0,0,0.0,0.0,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_market_cap_yuan,ctx_hfq_market_cap_yuan,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_market_cap_yuan,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,86055,0.999999997387748,0.44036479633567804,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_pb,ctx_hfq_pb,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pb,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,96423,0.9999999947964613,0.4405120235563553,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_pe_ttm,ctx_hfq_pe_ttm,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pe_ttm,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,97724,0.9999999926847439,0.4405365614264682,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_prev_is_limit_up,ctx_hfq_prev_is_limit_up,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_prev_is_limit_up,STOCK,state-only,state-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MARKET_REGIME_CONDITION,EVALUATED_DEVELOPMENT_ONLY,False,False,0.0,0,0.0,0.0,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_ps_ttm,ctx_hfq_ps_ttm,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_ps_ttm,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,97213,0.9999999950844511,0.4405202028463929,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_turnover_ratio,ctx_hfq_turnover_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_turnover_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937850310640483,58799,0.9999999759857344,0.4492393260265009,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_hfq_volume_ratio,ctx_hfq_volume_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_volume_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,0.9937256506607689,734,0.9996372904782309,0.4439468302658487,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_holder_avg_hold_num,ctx_holder_avg_hold_num,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_hold_num,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.03151857823880963,4358,0.9999993459971624,0.02082572159298502,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_holder_avg_market_cap,ctx_holder_avg_market_cap,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_market_cap,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.03150076411782583,4417,0.999999175053363,0.0208105147864184,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_holder_holder_num,ctx_holder_holder_num,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.03152883485392151,4191,0.9999981044075616,0.020783956244302643,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_holder_holder_num_change,ctx_holder_holder_num_change,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_change,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.03152883485392151,2788,0.9997274000752406,0.0211485870556062,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_holder_holder_num_ratio,ctx_holder_holder_num_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_ratio,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,0.031528295032073515,4345,0.9997158102176839,0.0211485870556062,TRUE1MIN::lagged_daily_context,,,,
capability::ctx_rzrq_rqye,ctx_rzrq_rqye,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqye,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,True,True,0.6564093317923219,60805,0.8760541315308349,0.2881216962723417,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rqyl,ctx_rzrq_rqyl,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqyl,STOCK,interaction-only,interaction-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,EVALUATED_DEVELOPMENT_ONLY,True,True,0.6564093317923219,29137,0.8763476254644095,0.22411755544765796,TRUE1MIN::lagged_daily_context,,,,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
