candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note,typed_gate_decision,typed_gate_reason,registry_version
phase3bp_event_00011,c9937ce3709ec284768f38fb,"CSRank(StateDwell($evt_uplimit_type_code,5))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_type_code,['evt_uplimit_type_code'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:c9937ce3709ec284768f38fb,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_type_code_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00012,bc57ab5e618048783a7e646b,"CSRank(WindowStateCount($evt_uplimit_auction_offer,10))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_offer,['evt_uplimit_auction_offer'],0,"CSRank(WindowStateCount($F,N))",CSRank>WindowStateCount,CSRank:1|WindowStateCount:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,4,complexity_le_6,phase3bp:bc57ab5e618048783a7e646b,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_offer_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00013,bb8cea2077b385b35a40c3b6,"Neg(CSRank(StateDwell($evt_uplimit_fd_max,5)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_fd_max,['evt_uplimit_fd_max'],0,"Neg(CSRank(StateDwell($F,N)))",Neg>CSRank>StateDwell,CSRank:1|Neg:1|StateDwell:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,5,complexity_le_6,phase3bp:bb8cea2077b385b35a40c3b6,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_fd_max_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00014,b27e2da0f48c839ac209ee62,"CSRank(StateDwell($evt_uplimit_fd_max,5))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_fd_max,['evt_uplimit_fd_max'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:b27e2da0f48c839ac209ee62,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_fd_max_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00015,af8849f797f7a86b5617def2,Neg(CSRank(EventAge($evt_uplimit_active))),typed_event_state::event_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_active,['evt_uplimit_active'],0,Neg(CSRank(EventAge($F))),Neg>CSRank>EventAge,CSRank:1|EventAge:1|Neg:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,0,wincount_le_0,0,maxwin_le_0,4,complexity_le_6,phase3bp:af8849f797f7a86b5617def2,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_active_event_age role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00016,af7e57ed2cf5764a877878f9,"Neg(CSRank(WindowStateCount($evt_uplimit_fd_close,10)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_fd_close,['evt_uplimit_fd_close'],0,"Neg(CSRank(WindowStateCount($F,N)))",Neg>CSRank>WindowStateCount,CSRank:1|Neg:1|WindowStateCount:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,5,complexity_le_6,phase3bp:af7e57ed2cf5764a877878f9,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_fd_close_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00017,ad69daba317875dac3b5a7ac,"Neg(CSRank(StateDwell($evt_uplimit_amount,5)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_amount,['evt_uplimit_amount'],0,"Neg(CSRank(StateDwell($F,N)))",Neg>CSRank>StateDwell,CSRank:1|Neg:1|StateDwell:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,5,complexity_le_6,phase3bp:ad69daba317875dac3b5a7ac,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_amount_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00018,acc822473f60f4985c1a5810,"CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_up_limit_keep_times,['evt_uplimit_up_limit_keep_times'],0,"CSRank(WindowStateCount($F,N))",CSRank>WindowStateCount,CSRank:1|WindowStateCount:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,4,complexity_le_6,phase3bp:acc822473f60f4985c1a5810,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_up_limit_keep_times_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00019,a66132cb0a6ce4a38015ac19,"CSRank(WindowStateCount($evt_uplimit_auction_pre1max_ratio,10))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_pre1max_ratio,['evt_uplimit_auction_pre1max_ratio'],0,"CSRank(WindowStateCount($F,N))",CSRank>WindowStateCount,CSRank:1|WindowStateCount:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,4,complexity_le_6,phase3bp:a66132cb0a6ce4a38015ac19,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_pre1max_ratio_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00020,a2b9c84014ec2264a201136d,"CSRank(EventCount($evt_uplimit_active,5))",typed_event_state::event_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_active,['evt_uplimit_active'],0,"CSRank(EventCount($F,N))",CSRank>EventCount,CSRank:1|EventCount:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:a2b9c84014ec2264a201136d,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_active_event_count_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00021,ff8c6ad00332048936263d3f,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_zls_strong,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_zls_strong', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Mul(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:ff8c6ad00332048936263d3f,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_zls_strong_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00022,ff4ced6a55185facaab61319,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_ths_hot_last_pct,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_ths_hot_last_pct|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_ths_hot_last_pct', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Sub(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Sub>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|SafeCSResidual:1|Sub:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:ff4ced6a55185facaab61319,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_ths_hot_last_pct_safe_residual_amount event_minus_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00023,fc770d6b18cb4e5c05ab3763,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_lb_3_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_lb_3_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_lb_3_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Sub(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Sub>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|SafeCSResidual:1|Sub:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:fc770d6b18cb4e5c05ab3763,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_lb_3_num_safe_residual_amount event_minus_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00024,fbc868f84b60b94a37eeac32,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_ths_hot_circulation_value,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_ths_hot_circulation_value|evt_uplimit_type_code,"['amount', 'ctx_ths_hot_circulation_value', 'evt_uplimit_type_code']",0,"CSRank(Sub(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Sub>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|SafeCSResidual:1|Sub:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:fbc868f84b60b94a37eeac32,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_ths_hot_circulation_value_safe_residual_amount event_minus_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00025,fb667fe4d294599d241ab1d8,"CSRank(Sub(CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5)),CSRank(SafeCSResidual($ctx_sent_uplimit_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_uplimit_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_uplimit_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Sub(CSRank(StateDwell($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Sub>CSRank>StateDwell>CSRank>SafeCSResidual,CSRank:3|SafeCSResidual:1|StateDwell:1|Sub:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,3,wincount_le_4,20,maxwin_le_30,12,complexity_le_14,phase3bp:fb667fe4d294599d241ab1d8,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_state_dwell_5 x ctx_sent_uplimit_num_safe_residual_amount event_minus_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00026,f9f2cd13d24065190b78053f,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_mian_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_mian_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_mian_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Mul(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:f9f2cd13d24065190b78053f,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_mian_num_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00027,f943ef5af374d2d642403799,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_downlimit_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_downlimit_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_downlimit_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Mul(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:f943ef5af374d2d642403799,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_downlimit_num_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00028,f86020d90a53db5818a61e72,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_sent_lb_2_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_lb_2_num|evt_uplimit_type_code,"['amount', 'ctx_sent_lb_2_num', 'evt_uplimit_type_code']",0,"CSRank(Mul(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:f86020d90a53db5818a61e72,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_sent_lb_2_num_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00029,f754dd5e5c64f0b0c4d33d6e,"CSRank(Mul(CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5)),CSRank(SafeCSResidual($ctx_sent_lb_h_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_lb_h_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_lb_h_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Mul(CSRank(StateDwell($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>StateDwell>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|StateDwell:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,3,wincount_le_4,20,maxwin_le_30,12,complexity_le_14,phase3bp:f754dd5e5c64f0b0c4d33d6e,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_state_dwell_5 x ctx_sent_lb_h_num_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00030,f5d58051405c4fbf7b7ab7d3,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_ditian_num,$amount,20,5,0.8))))",typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,amount|ctx_sent_ditian_num|evt_uplimit_up_limit_keep_times,"['amount', 'ctx_sent_ditian_num', 'evt_uplimit_up_limit_keep_times']",0,"CSRank(Mul(CSRank(WindowStateCount($F,N)),CSRank(SafeCSResidual($F,$F,N,N,N))))",CSRank>Mul>CSRank>WindowStateCount>CSRank>SafeCSResidual,CSRank:3|Mul:1|SafeCSResidual:1|WindowStateCount:1,CSRank,4,depth_le_4,6,opcount_le_6,3,fieldcount_le_4,4,wincount_le_4,20,maxwin_le_30,13,complexity_le_14,phase3bp:f5d58051405c4fbf7b7ab7d3,0.09,1,read_only_research_candidate,typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_ditian_num_safe_residual_amount event_x_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
