field,field_lane,split,rows,nonnull,nonzero,nonnull_ratio,nonzero_ratio
evt_uplimit_amount,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_amount,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_amount,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_auction_buy,event_state,test,7643556,2618,2396,0.00034251,0.00031347
evt_uplimit_auction_buy,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_buy,event_state,validation,7745740,3722,3514,0.00048052,0.00045367
evt_uplimit_auction_money,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_money,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_money,event_state,validation,7745740,3722,3722,0.00048052,0.00048052
evt_uplimit_auction_offer,event_state,test,7643556,2618,2378,0.00034251,0.00031111
evt_uplimit_auction_offer,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_offer,event_state,validation,7745740,3722,3244,0.00048052,0.00041881
evt_uplimit_auction_pre1max_ratio,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_pre1max_ratio,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_pre1max_ratio,event_state,validation,7745740,3722,3722,0.00048052,0.00048052
evt_uplimit_auction_turnover,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_turnover,event_state,train,22549888,10072,0,0.00044665,0
evt_uplimit_auction_turnover,event_state,validation,7745740,4745,3722,0.00061259,0.00048052
evt_uplimit_fd_close,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_fd_close,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_fd_close,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_fd_max,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_fd_max,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_fd_max,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_type_code,event_state,test,7643556,2618,0,0.00034251,0
evt_uplimit_type_code,event_state,train,22549888,10072,0,0.00044665,0
evt_uplimit_type_code,event_state,validation,7745740,4745,0,0.00061259,0
evt_uplimit_up_limit_keep_times,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_up_limit_keep_times,event_state,train,22549888,10072,10072,0.00044665,0.00044665
evt_uplimit_up_limit_keep_times,event_state,validation,7745740,4745,4745,0.00061259,0.00061259
ctx_sent_damian_num,lagged_context,test,7643556,7643556,3587767,1,0.46938454
ctx_sent_damian_num,lagged_context,train,22549888,22549888,10106335,1,0.44817673
ctx_sent_damian_num,lagged_context,validation,7745740,7745740,3414247,1,0.44079029
ctx_sent_ditian_num,lagged_context,test,7643556,7643556,780117,1,0.10206205
ctx_sent_ditian_num,lagged_context,train,22549888,22549888,5423464,1,0.24050958
ctx_sent_ditian_num,lagged_context,validation,7745740,7745740,474288,1,0.06123211
ctx_sent_down_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_down_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_down_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_downlimit_num,lagged_context,test,7643556,7643556,7331461,1,0.95916887
ctx_sent_downlimit_num,lagged_context,train,22549888,22549888,20225202,1,0.8969092
ctx_sent_downlimit_num,lagged_context,validation,7745740,7745740,7257233,1,0.93693217
ctx_sent_gt5_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_gt5_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_gt5_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_lb_2_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lb_2_num,lagged_context,train,22549888,22549888,22394202,1,0.99309593
ctx_sent_lb_2_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_lb_3_num,lagged_context,test,7643556,7643556,7332184,1,0.95926346
ctx_sent_lb_3_num,lagged_context,train,22549888,22549888,21306810,1,0.94487432
ctx_sent_lb_3_num,lagged_context,validation,7745740,7745740,7367370,1,0.95115121
ctx_sent_lb_h_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lb_h_num,lagged_context,train,22549888,22549888,21136905,1,0.93733969
ctx_sent_lb_h_num,lagged_context,validation,7745740,7745740,6257324,1,0.8078407
ctx_sent_lt5_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lt5_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_lt5_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_max_lb_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_max_lb_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_max_lb_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_mian_num,lagged_context,test,7643556,7643556,7019125,1,0.91830622
ctx_sent_mian_num,lagged_context,train,22549888,22549888,19750914,1,0.87587637
ctx_sent_mian_num,lagged_context,validation,7745740,7745740,5657716,1,0.73042937
ctx_sent_tiandi_num,lagged_context,test,7643556,7643556,468022,1,0.06123092
ctx_sent_tiandi_num,lagged_context,train,22549888,22549888,1239463,1,0.05496537
ctx_sent_tiandi_num,lagged_context,validation,7745740,7745740,637204,1,0.08226509
ctx_sent_up_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_up_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_up_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_uplimit_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_uplimit_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_uplimit_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_zb_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_zb_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_zb_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_ths_hot_circulation_value,lagged_context,test,7643556,1304774,1304774,0.17070248,0.17070248
ctx_ths_hot_circulation_value,lagged_context,train,22549888,2867418,2867418,0.12715886,0.12715886
ctx_ths_hot_circulation_value,lagged_context,validation,7745740,1178490,1178490,0.15214686,0.15214686
ctx_ths_hot_last_pct,lagged_context,test,7643556,1304774,1293206,0.17070248,0.16918905
ctx_ths_hot_last_pct,lagged_context,train,22549888,2867418,2832473,0.12715886,0.12560918
ctx_ths_hot_last_pct,lagged_context,validation,7745740,1178490,1166681,0.15214686,0.15062228
ctx_ths_hot_last_price,lagged_context,test,7643556,1304774,1293206,0.17070248,0.16918905
ctx_ths_hot_last_price,lagged_context,train,22549888,2867418,2832714,0.12715886,0.12561987
ctx_ths_hot_last_price,lagged_context,validation,7745740,1178490,1166681,0.15214686,0.15062228
ctx_ths_hot_rank,lagged_context,test,7643556,1304774,1304774,0.17070248,0.17070248
ctx_ths_hot_rank,lagged_context,train,22549888,2867418,2867418,0.12715886,0.12715886
ctx_ths_hot_rank,lagged_context,validation,7745740,1178490,1178490,0.15214686,0.15214686
ctx_ths_hot_rank_diff,lagged_context,test,7643556,1304774,1244524,0.17070248,0.16282003
ctx_ths_hot_rank_diff,lagged_context,train,22549888,2867418,2768849,0.12715886,0.12278771
ctx_ths_hot_rank_diff,lagged_context,validation,7745740,1178490,1137520,0.15214686,0.1468575
ctx_zls_df_num,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_df_num,lagged_context,train,22549888,0,0,0,0
ctx_zls_df_num,lagged_context,validation,7745740,0,0,0,0
ctx_zls_lbgd,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_lbgd,lagged_context,train,22549888,0,0,0,0
ctx_zls_lbgd,lagged_context,validation,7745740,0,0,0,0
ctx_zls_strong,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_strong,lagged_context,train,22549888,0,0,0,0
ctx_zls_strong,lagged_context,validation,7745740,0,0,0,0
ctx_zls_ztjs,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_ztjs,lagged_context,train,22549888,0,0,0,0
ctx_zls_ztjs,lagged_context,validation,7745740,0,0,0,0
