source_table,source_field,development_safe_non_null,development_safe_missing,scan_status
balance_sheet_report_em,ASSET_OTHER_YOY,1154,273607,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ASSIGN_CASH_DIVIDEND,1361,273400,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ASSIGN_CASH_DIVIDEND_YOY,3,274758,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AVAILABLE_SALE_FINASSET,54510,220251,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AVAILABLE_SALE_FINASSET_YOY,40322,234439,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BOND_PAYABLE,41275,233486,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BOND_PAYABLE_YOY,29670,245091,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BORROW_FUND,6824,267937,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BORROW_FUND_YOY,3879,270882,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BUY_RESALE_FINASSET,7927,266834,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,BUY_RESALE_FINASSET_YOY,4843,269918,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CAPITAL_RESERVE,269443,5318,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CAPITAL_RESERVE_YOY,246956,27805,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CASH_DEPOSIT_PBC,2697,272064,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CASH_DEPOSIT_PBC_YOY,2478,272283,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CD_NOTE_PAYABLE,566,274195,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CD_NOTE_PAYABLE_YOY,122,274639,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CIP,229263,45498,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CIP_YOY,201885,72876,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,COMPENSATE_PAYABLE,278,274483,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,COMPENSATE_PAYABLE_YOY,256,274505,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONSUMPTIVE_BIOLOGICAL_ASSET,26,274735,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONSUMPTIVE_BIOLOGICAL_ASSET_YOY,18,274743,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONTRACT_ASSET,32074,242687,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONTRACT_ASSET_YOY,23091,251670,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONTRACT_LIAB,91264,183497,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONTRACT_LIAB_YOY,70877,203884,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONVERT_DIFF,18185,256576,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CONVERT_DIFF_YOY,13225,261536,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDITOR_INVEST,7501,267260,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDITOR_INVEST_YOY,4319,270442,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDITOR_PLAN_INVEST,7,274754,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDITOR_PLAN_INVEST_YOY,2,274759,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDIT_AGENT_SECURITY,233,274528,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDIT_AGENT_SECURITY_YOY,78,274683,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDIT_EXCESS_RESERVE,265,274496,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CREDIT_EXCESS_RESERVE_YOY,5,274756,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENCY,274705,56,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_ASSET_BALANCE,224514,50247,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_ASSET_BALANCE_YOY,14522,260239,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_ASSET_OTHER,100767,173994,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_ASSET_OTHER_YOY,27873,246888,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_LIAB_BALANCE,224587,50174,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_LIAB_BALANCE_YOY,3776,270985,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_LIAB_OTHER,112548,162213,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CURRENT_LIAB_OTHER_YOY,27278,247483,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_CREDIT_DEPOSIT,352,274409,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_CREDIT_DEPOSIT_YOY,72,274689,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_DEPOSIT,2303,272458,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_DEPOSIT_YOY,2116,272645,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_EXCESS_RESERVE,2288,272473,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,CUSTOMER_EXCESS_RESERVE_YOY,2098,272663,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_INCOME,147139,127622,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_INCOME_1YEAR,455,274306,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_INCOME_1YEAR_YOY,181,274580,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_INCOME_YOY,125109,149652,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_TAX_ASSET,231499,43262,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_TAX_ASSET_YOY,208410,66351,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_TAX_LIAB,144577,130184,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEFER_TAX_LIAB_YOY,117535,157226,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEPOSIT_CERTIFICATE,163,274598,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEPOSIT_CERTIFICATE_YOY,113,274648,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEPOSIT_INTERBANK,2414,272347,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEPOSIT_INTERBANK_YOY,2182,272579,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DERIVE_FINASSET,10451,264310,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DERIVE_FINASSET_YOY,6275,268486,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DERIVE_FINLIAB,10271,264490,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DERIVE_FINLIAB_YOY,6140,268621,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEVELOP_EXPENSE,44377,230384,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DEVELOP_EXPENSE_YOY,33406,241355,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIVIDEND_PAYABLE,98460,176301,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIVIDEND_PAYABLE_YOY,74506,200255,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIVIDEND_RECE,28451,246310,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIVIDEND_RECE_YOY,15323,259438,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIV_HOLDSALE_ASSET,1209,273552,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIV_HOLDSALE_ASSET_YOY,215,274546,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIV_HOLDSALE_LIAB,372,274389,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,DIV_HOLDSALE_LIAB_YOY,24,274737,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EQUITY_BALANCE,194616,80145,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EQUITY_BALANCE_YOY,298,274463,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EQUITY_OTHER,13689,261072,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EQUITY_OTHER_YOY,3,274758,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EXPORT_REFUND_RECE,23,274738,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,EXPORT_REFUND_RECE_YOY,1,274760,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FEE_COMMISSION_PAYABLE,2583,272178,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FEE_COMMISSION_PAYABLE_YOY,473,274288,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FINANCE_RECE,62939,211822,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FINANCE_RECE_YOY,46877,227884,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIN_FUND,2195,272566,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIN_FUND_YOY,1836,272925,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIN_SECURITY,211,274550,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIN_SECURITY_YOY,20,274741,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIXED_ASSET,263843,10918,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIXED_ASSET_DISPOSAL,20891,253870,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIXED_ASSET_DISPOSAL_YOY,9212,265549,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FIXED_ASSET_YOY,241598,33163,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTOCI_FINASSET,493,274268,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTOCI_FINASSET_YOY,228,274533,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTOCI_NCFINASSET,39,274722,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTOCI_NCFINASSET_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTPL_FINASSET,14543,260218,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTPL_FINASSET_YOY,7888,266873,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTPL_FINLIAB,8203,266558,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,FVTPL_FINLIAB_YOY,4111,270650,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,GENERAL_RISK_RESERVE,11220,263541,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,GENERAL_RISK_RESERVE_YOY,7628,267133,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,GOODWILL,107722,167039,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,GOODWILL_YOY,91252,183509,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HD_RESERVE,224,274537,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HD_RESERVE_YOY,201,274560,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HEDGE_RESERVE,67,274694,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HEDGE_RESERVE_YOY,13,274748,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLDSALE_ASSET,5805,268956,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLDSALE_ASSET_YOY,1613,273148,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLDSALE_LIAB,1738,273023,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLDSALE_LIAB_YOY,166,274595,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLD_MATURITY_INVEST,8644,266117,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,HOLD_MATURITY_INVEST_YOY,4040,270721,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IND_ACC_ASSET,159,274602,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IND_ACC_ASSET_YOY,142,274619,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IND_ACC_LIAB,175,274586,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IND_ACC_LIAB_YOY,156,274605,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURANCE_CONTRACT_RESERVE,2239,272522,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURANCE_CONTRACT_RESERVE_YOY,431,274330,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURED_DEPOSIT_INVEST,276,274485,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURED_DEPOSIT_INVEST_YOY,253,274508,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURED_PLEDGE_LOAN,240,274521,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INSURED_PLEDGE_LOAN_YOY,217,274544,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTANGIBLE_ASSET,262737,12024,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTANGIBLE_ASSET_YOY,239525,35236,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTEREST_PAYABLE,89703,185058,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTEREST_PAYABLE_YOY,67515,207246,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTEREST_RECE,47917,226844,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTEREST_RECE_YOY,31251,243510,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTERNAL_PAYABLE,13,274748,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTERNAL_PAYABLE_YOY,1,274760,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTERNAL_RECE,15,274746,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INTERNAL_RECE_YOY,2,274759,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVENTORY,262386,12375,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVENTORY_YOY,240104,34657,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_JOINT,96,274665,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_JOINT_YOY,39,274722,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_REALESTATE,104613,170148,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_REALESTATE_YOY,89011,185750,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_RECE,1194,273567,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_RECE_YOY,974,273787,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_REVALUE_RESERVE,72,274689,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_REVALUE_RESERVE_YOY,17,274744,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_SUBSIDIARY,29,274732,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,INVEST_SUBSIDIARY_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IOFI_DEPOSIT,2448,272313,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,IOFI_DEPOSIT_YOY,2221,272540,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LD_RESERVE,224,274537,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LD_RESERVE_YOY,201,274560,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LEASE_LIAB,64789,209972,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LEASE_LIAB_YOY,44975,229786,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LEND_FUND,4919,269842,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LEND_FUND_YOY,2284,272477,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_BALANCE,229480,45281,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_BALANCE_YOY,699,274062,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_EQUITY_BALANCE,36084,238677,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_EQUITY_BALANCE_YOY,990,273771,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_EQUITY_OTHER,153,274608,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_EQUITY_OTHER_YOY,3,274758,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_OTHER,26313,248448,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LIAB_OTHER_YOY,1633,273128,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LISTING_STATE,274761,0,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LOAN_ADVANCE,9264,265497,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LOAN_ADVANCE_YOY,5271,269490,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LOAN_PBC,4184,270577,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LOAN_PBC_YOY,1781,272980,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_EQUITY_INVEST,184459,90302,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_EQUITY_INVEST_YOY,161180,113581,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_LOAN,148915,125846,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_LOAN_YOY,118949,155812,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_PAYABLE,82653,192108,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_PAYABLE_YOY,62219,212542,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_PREPAID_EXPENSE,209806,64955,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_PREPAID_EXPENSE_YOY,182405,92356,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_RECE,41540,233221,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_RECE_YOY,29349,245412,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_STAFFSALARY_PAYABLE,28669,246092,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,LONG_STAFFSALARY_PAYABLE_YOY,16589,258172,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MINORITY_EQUITY,208665,66096,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MINORITY_EQUITY_YOY,185685,89076,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MONETARYFUNDS,268743,6018,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MONETARYFUNDS_YOY,246753,28008,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MORTGAGE_ASSET_IMPAIRMENT,69,274692,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,MORTGAGE_ASSET_IMPAIRMENT_YOY,6,274755,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NET_PENDMORTGAGE_ASSET,106,274655,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NET_PENDMORTGAGE_ASSET_YOY,31,274730,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_1YEAR,37033,237728,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_1YEAR_YOY,21473,253288,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_BALANCE,224532,50229,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_BALANCE_YOY,15131,259630,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_OTHER,38346,236415,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_ASSET_OTHER_YOY,578,274183,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_1YEAR,154797,119964,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_1YEAR_YOY,118947,155814,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_BALANCE,214281,60480,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_BALANCE_YOY,3897,270864,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_OTHER,37800,236961,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NONCURRENT_LIAB_OTHER_YOY,571,274190,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_ACCOUNTS_PAYABLE,264774,9987,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_ACCOUNTS_PAYABLE_YOY,242599,32162,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_ACCOUNTS_RECE,262311,12450,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_ACCOUNTS_RECE_YOY,239042,35719,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_PAYABLE,167452,107309,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_PAYABLE_YOY,134770,139991,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_RECE,194225,80536,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTE_RECE_YOY,163657,111104,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,NOTICE_DATE,274761,0,DEVELOPMENT_ONLY_COMPLETE
