runner,field_id,source_family,registered,physically_available,pit_qualified,search_eligible,generator_visible,proposal_count,legal_count,canonical_identity_count,exact_identity_count,signal_cluster_count,admission_count,strict_count,full_development_reward_count,survivor_count,cross_seed_exact_count,proxy_count,feedback_count,evidence_ceiling
LEGACY_PHASE3GA_CM_CN,close,raw_1min,True,True,True,True,True,10649,10649,28,10649,2659,127,127,127,0,0,459,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,close,raw_1min,True,True,True,True,True,46,46,38,38,23,18,6,6,0,8,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,code,metadata,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,code,metadata,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_accum_amount,lagged_daily_context,True,True,True,True,True,194,194,46,194,0,4,3,3,0,0,17,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_accum_amount,lagged_daily_context,True,True,True,True,True,4,4,2,2,4,2,2,2,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_billboard_billboard_buy_amt,lagged_daily_context,True,True,True,False,True,189,189,46,189,0,2,2,2,0,0,15,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_billboard_buy_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_billboard_deal_amt,lagged_daily_context,True,True,True,False,True,192,192,45,192,0,6,5,5,0,0,18,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_billboard_deal_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_billboard_net_amt,lagged_daily_context,True,True,True,False,True,193,193,46,193,0,3,3,3,0,0,10,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_billboard_net_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_billboard_sell_amt,lagged_daily_context,True,True,True,False,True,186,186,44,186,0,4,4,4,0,0,13,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_billboard_sell_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_buy_ratio,lagged_daily_context,True,True,True,True,True,181,181,43,181,0,3,3,3,0,0,11,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_buy_ratio,lagged_daily_context,True,True,True,True,True,4,4,4,4,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_deal_amount_ratio,lagged_daily_context,True,True,True,True,True,181,181,41,181,0,1,1,1,0,0,14,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_deal_amount_ratio,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_deal_net_ratio,lagged_daily_context,True,True,True,True,True,203,203,47,203,0,6,6,6,0,0,23,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_deal_net_ratio,lagged_daily_context,True,True,True,True,True,4,4,2,2,2,0,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_net_bs_amt,lagged_daily_context,True,True,True,False,True,203,203,46,203,0,1,1,1,0,0,13,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_net_bs_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_sell_ratio,lagged_daily_context,True,True,True,True,True,193,193,44,193,0,1,0,0,0,0,7,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_sell_ratio,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_sum_buy_amt,lagged_daily_context,True,True,True,False,True,191,191,44,191,0,4,2,2,0,0,11,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_sum_buy_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_sum_sell_amt,lagged_daily_context,True,True,True,False,True,197,197,47,197,0,2,1,1,0,0,13,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_sum_sell_amt,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_billboard_turnoverrate,lagged_daily_context,True,True,True,False,True,192,192,45,192,0,2,1,1,0,0,16,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_billboard_turnoverrate,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_float_market_cap_yuan,lagged_daily_context,True,True,True,True,True,505,505,62,505,186,3,3,3,0,0,33,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_float_market_cap_yuan,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_is_st,lagged_daily_context,True,True,True,True,True,523,523,70,523,0,9,5,5,0,0,29,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_is_st,lagged_daily_context,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_market_cap_yuan,lagged_daily_context,True,True,True,True,True,528,528,65,528,189,11,8,8,0,0,27,7,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_market_cap_yuan,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_pb,lagged_daily_context,True,True,True,True,True,529,529,65,529,194,12,8,8,0,0,28,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_pb,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_pe_ttm,lagged_daily_context,True,True,True,True,True,514,514,65,514,182,6,6,6,0,0,28,7,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_pe_ttm,lagged_daily_context,True,True,True,True,True,4,4,2,2,4,4,2,2,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_hfq_prev_is_limit_up,lagged_daily_context,True,True,True,True,True,506,506,62,506,0,7,7,7,0,0,35,7,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_prev_is_limit_up,lagged_daily_context,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_ps_ttm,lagged_daily_context,True,True,True,True,True,516,516,64,516,189,5,3,3,0,0,33,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_ps_ttm,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_turnover_ratio,lagged_daily_context,True,True,True,True,True,520,520,67,520,187,7,6,6,0,0,30,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_turnover_ratio,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_hfq_volume_ratio,lagged_daily_context,True,True,True,True,True,511,511,65,511,186,6,5,5,0,0,32,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_hfq_volume_ratio,lagged_daily_context,True,True,True,True,True,4,4,2,2,2,2,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_holder_avg_hold_num,lagged_daily_context,True,True,True,True,True,187,187,44,187,0,4,3,3,0,0,11,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_holder_avg_hold_num,lagged_daily_context,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_holder_avg_market_cap,lagged_daily_context,True,True,True,True,True,187,187,46,187,0,3,2,2,0,0,9,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_holder_avg_market_cap,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_holder_holder_num,lagged_daily_context,True,True,True,True,True,195,195,44,195,0,1,1,1,0,0,11,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_holder_holder_num,lagged_daily_context,True,True,True,True,True,6,6,4,4,2,0,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_holder_holder_num_change,lagged_daily_context,True,True,True,True,True,186,186,42,186,0,4,3,3,0,0,23,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_holder_holder_num_change,lagged_daily_context,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_holder_holder_num_ratio,lagged_daily_context,True,True,True,True,True,186,186,44,186,0,1,0,0,0,0,7,2,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_holder_holder_num_ratio,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rqye,lagged_daily_context,True,True,True,False,True,338,338,58,338,93,8,8,8,0,0,23,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rqye,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rqyl,lagged_daily_context,True,True,True,False,True,317,317,51,317,86,5,5,5,0,0,22,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rqyl,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzche,lagged_daily_context,True,True,True,False,True,327,327,55,327,89,6,6,6,0,0,29,3,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzche,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzjme,lagged_daily_context,True,True,True,True,True,312,312,54,312,88,6,6,6,0,0,19,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzjme,lagged_daily_context,True,True,True,True,True,4,4,2,2,2,2,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzmre,lagged_daily_context,True,True,True,False,True,321,321,50,321,84,8,8,8,0,0,27,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzmre,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzrqye,lagged_daily_context,True,True,True,False,True,325,325,50,325,85,8,7,7,0,0,33,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzrqye,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzye,lagged_daily_context,True,True,True,True,True,317,317,53,317,85,6,4,4,0,0,24,0,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzye,lagged_daily_context,True,True,True,True,True,4,4,4,4,4,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_rzrq_rzyezb,lagged_daily_context,True,True,True,True,True,316,316,53,316,83,8,8,8,0,0,28,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_rzrq_rzyezb,lagged_daily_context,True,True,True,True,True,6,6,4,4,2,0,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_damian_num,lagged_daily_context,True,True,True,True,True,517,517,63,517,119,10,8,8,0,0,25,8,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_damian_num,lagged_daily_context,True,True,True,True,True,4,4,4,4,4,4,4,4,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_ditian_num,lagged_daily_context,True,True,True,True,True,498,498,62,498,45,7,7,7,0,0,30,3,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_ditian_num,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_down_num,lagged_daily_context,True,True,True,True,True,504,504,61,504,146,3,3,3,0,0,19,6,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_down_num,lagged_daily_context,True,True,True,True,True,4,4,4,4,3,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_downlimit_num,lagged_daily_context,True,True,True,True,True,524,524,67,524,142,8,7,7,0,0,37,7,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_downlimit_num,lagged_daily_context,True,True,True,True,True,6,6,6,6,3,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_gt5_num,lagged_daily_context,True,True,True,True,True,513,513,65,513,152,9,8,8,0,0,32,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_gt5_num,lagged_daily_context,True,True,True,True,True,4,4,4,4,2,2,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_lb_2_num,lagged_daily_context,True,True,True,True,True,507,507,64,507,142,6,6,6,0,0,28,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_lb_2_num,lagged_daily_context,True,True,True,True,True,4,4,4,4,3,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_lb_3_num,lagged_daily_context,True,True,True,True,True,528,528,70,528,134,7,7,7,0,0,30,3,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_lb_3_num,lagged_daily_context,True,True,True,True,True,4,4,2,2,1,2,0,0,0,2,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_lb_h_num,lagged_daily_context,True,True,True,True,True,531,531,67,531,137,4,4,4,0,0,29,3,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_lb_h_num,lagged_daily_context,True,True,True,True,True,6,6,6,6,3,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_lt5_num,lagged_daily_context,True,True,True,True,True,528,528,64,528,137,7,6,6,0,0,30,9,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_lt5_num,lagged_daily_context,True,True,True,True,True,2,2,2,2,1,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_max_lb_num,lagged_daily_context,True,True,True,True,True,523,523,69,523,134,6,5,5,0,0,30,5,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_max_lb_num,lagged_daily_context,True,True,True,True,True,6,6,6,6,3,2,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_mian_num,lagged_daily_context,True,True,True,True,True,523,523,66,523,135,3,3,3,0,0,28,6,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_mian_num,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,2,2,2,1,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_tiandi_num,lagged_daily_context,True,True,True,True,True,534,534,68,534,15,5,5,5,0,0,29,3,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_tiandi_num,lagged_daily_context,True,True,True,True,True,6,6,6,6,5,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_up_num,lagged_daily_context,True,True,True,True,True,535,535,65,535,154,8,7,7,0,0,36,5,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_up_num,lagged_daily_context,True,True,True,True,True,2,2,2,2,1,2,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_sent_uplimit_num,lagged_daily_context,True,True,True,True,True,539,539,68,539,150,8,8,8,0,0,38,1,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_uplimit_num,lagged_daily_context,True,True,True,True,True,2,2,2,2,2,2,2,2,0,0,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,ctx_sent_zb_num,lagged_daily_context,True,True,True,True,True,530,530,67,530,138,7,6,6,0,0,32,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_sent_zb_num,lagged_daily_context,True,True,True,True,True,4,4,4,4,2,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_ths_hot_circulation_value,lagged_daily_context,True,True,True,False,True,543,543,69,543,0,10,9,9,0,0,47,4,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,ctx_ths_hot_circulation_value,lagged_daily_context,True,True,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
LEGACY_PHASE3GA_CM_CN,ctx_ths_hot_last_pct,lagged_daily_context,True,True,True,True,True,512,512,61,512,0,6,5,5,0,0,33,2,DEVELOPMENT_ONLY_NOT_OOS
