field_uid,field_id,source_table,source_field,data_family,entity_scope,semantic_role,field_role,observable_time,pit_status,materialization_status,registry_present,registry_search_eligible,eligible_routes,generator_observed_routes,information_status,information_qualified,core_pack_selected,core_pack_decision,nearest_root_id,nearest_root_nmi,operator_path_status,review_outcome,review_reason,alpha_or_performance_claim
capability::broad_event_b22d9565d0b39241,broad_event_b22d9565d0b39241,frozen_event_episode_registry,HOTNESS_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_cf70889cec0c77df,broad_event_cf70889cec0c77df,frozen_event_episode_registry,BILLBOARD_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_d42c0973350238e0,broad_event_d42c0973350238e0,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,broad_event_frozen_entry,MARKET,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::chip_cost_p05,chip_cost_p05,chip_distribution,chip_cost_p05,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,chip_cost_p15,0.8074441434139645,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_cost_p15,chip_cost_p15,chip_distribution,chip_cost_p15,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,chip_cost_p50,0.7833251722890513,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_cost_p50,chip_cost_p50,chip_distribution,chip_cost_p50,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,chip_cost_weighted_mean,0.8534972267492087,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_cost_p85,chip_cost_p85,chip_distribution,chip_cost_p85,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,chip_cost_weighted_mean,0.8121846030683433,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_cost_p95,chip_cost_p95,chip_distribution,chip_cost_p95,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,chip_cost_weighted_mean,0.7086656759068944,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_cost_weighted_mean,chip_cost_weighted_mean,chip_distribution,chip_cost_weighted_mean,chip_distribution,STOCK,interaction-only,interaction-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,True,EXPLORATORY_CORE,,0.0,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::chip_historical_high,chip_historical_high,chip_distribution,chip_historical_high,chip_distribution,STOCK,benchmark-only,benchmark-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,CONTROL_ONLY,,0.0,NOT_OBSERVED,HOLD_RESEARCH,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE,False
capability::chip_historical_low,chip_historical_low,chip_distribution,chip_historical_low,chip_distribution,STOCK,benchmark-only,benchmark-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,CONTROL_ONLY,,0.0,NOT_OBSERVED,HOLD_RESEARCH,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE,False
capability::chip_profit_ratio,chip_profit_ratio,chip_distribution,chip_profit_ratio,chip_distribution,STOCK,condition-only,condition-only,previous_session,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY_IMPORTED_VERIFIED_CENSUS,True,False,CONTROL_ONLY,,0.0,NOT_OBSERVED,HOLD_RESEARCH,ROLE_CONDITION_ONLY_NOT_PAYLOAD_ELIGIBLE,False
capability::close,close,true1min_augmented_panel,close,raw_1min,STOCK,primary,primary,bar_close,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,EVALUATED_DEVELOPMENT_ONLY,True,False,REDUNDANCY_ARCHIVE,open,0.985754187412365,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::code,code,true1min_augmented_panel,code,metadata,STOCK,blocked,blocked,metadata_only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,NOT_EVALUATED,False,False,NOT_SELECTED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,identifier/label/clock metadata is not a searchable feature,False
capability::ctx_billboard_accum_amount,ctx_billboard_accum_amount,true1min_augmented_panel,ctx_billboard_accum_amount,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::ctx_billboard_billboard_buy_amt,ctx_billboard_billboard_buy_amt,true1min_augmented_panel,ctx_billboard_billboard_buy_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_billboard_deal_amt,ctx_billboard_billboard_deal_amt,true1min_augmented_panel,ctx_billboard_billboard_deal_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_billboard_net_amt,ctx_billboard_billboard_net_amt,true1min_augmented_panel,ctx_billboard_billboard_net_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_billboard_sell_amt,ctx_billboard_billboard_sell_amt,true1min_augmented_panel,ctx_billboard_billboard_sell_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_buy_ratio,ctx_billboard_buy_ratio,true1min_augmented_panel,ctx_billboard_buy_ratio,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::ctx_billboard_deal_amount_ratio,ctx_billboard_deal_amount_ratio,true1min_augmented_panel,ctx_billboard_deal_amount_ratio,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::ctx_billboard_deal_net_ratio,ctx_billboard_deal_net_ratio,true1min_augmented_panel,ctx_billboard_deal_net_ratio,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::ctx_billboard_net_bs_amt,ctx_billboard_net_bs_amt,true1min_augmented_panel,ctx_billboard_net_bs_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_sell_ratio,ctx_billboard_sell_ratio,true1min_augmented_panel,ctx_billboard_sell_ratio,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::ctx_billboard_sum_buy_amt,ctx_billboard_sum_buy_amt,true1min_augmented_panel,ctx_billboard_sum_buy_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_sum_sell_amt,ctx_billboard_sum_sell_amt,true1min_augmented_panel,ctx_billboard_sum_sell_amt,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_billboard_turnoverrate,ctx_billboard_turnoverrate,true1min_augmented_panel,ctx_billboard_turnoverrate,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,False,,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,False
capability::ctx_hfq_float_market_cap_yuan,ctx_hfq_float_market_cap_yuan,true1min_augmented_panel,ctx_hfq_float_market_cap_yuan,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,ctx_sent_uplimit_num,0.0026612389329998946,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::ctx_hfq_is_st,ctx_hfq_is_st,true1min_augmented_panel,ctx_hfq_is_st,lagged_daily_context,STOCK,condition-only,condition-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,MARKET_REGIME_CONDITION,,EVALUATED_DEVELOPMENT_ONLY,False,False,CONTROL_ONLY,,0.0,NOT_OBSERVED,HOLD_RESEARCH,NOT_IN_CURRENT_DISCOVERY_SCOPE,False
capability::ctx_hfq_market_cap_yuan,ctx_hfq_market_cap_yuan,true1min_augmented_panel,ctx_hfq_market_cap_yuan,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,ctx_hfq_float_market_cap_yuan,0.38334477422590785,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::ctx_hfq_pb,ctx_hfq_pb,true1min_augmented_panel,ctx_hfq_pb,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,ctx_hfq_ps_ttm,0.10609952413363759,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::ctx_hfq_pe_ttm,ctx_hfq_pe_ttm,true1min_augmented_panel,ctx_hfq_pe_ttm,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,ctx_hfq_ps_ttm,0.07161564162379756,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::ctx_hfq_prev_is_limit_up,ctx_hfq_prev_is_limit_up,true1min_augmented_panel,ctx_hfq_prev_is_limit_up,lagged_daily_context,STOCK,state-only,state-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,MARKET_REGIME_CONDITION,,EVALUATED_DEVELOPMENT_ONLY,False,False,NOT_QUALIFIED,,0.0,NOT_OBSERVED,HOLD_RESEARCH,NOT_IN_CURRENT_DISCOVERY_SCOPE,False
capability::ctx_hfq_ps_ttm,ctx_hfq_ps_ttm,true1min_augmented_panel,ctx_hfq_ps_ttm,lagged_daily_context,STOCK,interaction-only,interaction-only,previous_session,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,ctx_hfq_float_market_cap_yuan,0.04498124734593757,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
