field_uid,field_name,record_kind,data_family,source_table,source_field,entity_scope,semantic_role,field_role,dtype,observable_time,maturity,pit_status,materialization_status,search_status,recommended_routes,source_artifact,blocked_reason
capability::chip_historical_low,chip_historical_low,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_historical_low,STOCK,benchmark-only,benchmark-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE
capability::chip_profit_ratio,chip_profit_ratio,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_profit_ratio,STOCK,condition-only,condition-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,ROLE_CONDITION_ONLY_NOT_PAYLOAD_ELIGIBLE
capability::close,close,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,close,STOCK,primary,primary,,bar_close,0 bars,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::code,code,CAPABILITY_FIELD,metadata,true1min_augmented_panel,code,STOCK,blocked,blocked,,metadata_only,0 rows,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,identifier/label/clock metadata is not a searchable feature
capability::ctx_billboard_accum_amount,ctx_billboard_accum_amount,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_accum_amount,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_billboard_billboard_buy_amt,ctx_billboard_billboard_buy_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_buy_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_deal_amt,ctx_billboard_billboard_deal_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_deal_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_net_amt,ctx_billboard_billboard_net_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_net_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_billboard_sell_amt,ctx_billboard_billboard_sell_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_sell_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_buy_ratio,ctx_billboard_buy_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_buy_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_billboard_deal_amount_ratio,ctx_billboard_deal_amount_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_amount_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_billboard_deal_net_ratio,ctx_billboard_deal_net_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_net_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_billboard_net_bs_amt,ctx_billboard_net_bs_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_net_bs_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_sell_ratio,ctx_billboard_sell_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sell_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_billboard_sum_buy_amt,ctx_billboard_sum_buy_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_buy_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_sum_sell_amt,ctx_billboard_sum_sell_amt,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_sell_amt,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_billboard_turnoverrate,ctx_billboard_turnoverrate,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_billboard_turnoverrate,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_hfq_float_market_cap_yuan,ctx_hfq_float_market_cap_yuan,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_float_market_cap_yuan,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_is_st,ctx_hfq_is_st,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_is_st,STOCK,condition-only,condition-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MARKET_REGIME_CONDITION,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_market_cap_yuan,ctx_hfq_market_cap_yuan,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_market_cap_yuan,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_pb,ctx_hfq_pb,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pb,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_pe_ttm,ctx_hfq_pe_ttm,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pe_ttm,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_prev_is_limit_up,ctx_hfq_prev_is_limit_up,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_prev_is_limit_up,STOCK,state-only,state-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MARKET_REGIME_CONDITION,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_ps_ttm,ctx_hfq_ps_ttm,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_ps_ttm,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_turnover_ratio,ctx_hfq_turnover_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_turnover_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_hfq_volume_ratio,ctx_hfq_volume_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_hfq_volume_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_holder_avg_hold_num,ctx_holder_avg_hold_num,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_hold_num,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_holder_avg_market_cap,ctx_holder_avg_market_cap,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_market_cap,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_holder_holder_num,ctx_holder_holder_num,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_holder_holder_num_change,ctx_holder_holder_num_change,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_change,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_holder_holder_num_ratio,ctx_holder_holder_num_ratio,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_ratio,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_rzrq_rqye,ctx_rzrq_rqye,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqye,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rqyl,ctx_rzrq_rqyl,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqyl,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rzche,ctx_rzrq_rzche,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rzche,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rzjme,ctx_rzrq_rzjme,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rzjme,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::ctx_rzrq_rzmre,ctx_rzrq_rzmre,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rzmre,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rzrqye,ctx_rzrq_rzrqye,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rzrqye,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
capability::ctx_rzrq_rzye,ctx_rzrq_rzye,CAPABILITY_FIELD,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rzye,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
