path,line,match,risk
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,135,"if any(token in text for token in (""up_limit"", ""uplimit"", ""limit"", ""open_board"", ""fd_"", ""auction"", ""lb_"", ""tiandi"", ""ditian"", ""damian"", ""mian"", ""zb_num"")):",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,147,"if any(token in text for token in (""plate"", ""sector"", ""industry"", ""theme"")):",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,187,"""allowed_transforms"": ""notice_lagged_latest|quarter_delta|ttm_proxy|ratio|rank_xsection|winsorize|sector_residual"",",planned_transform_requires_group_membership_audit
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,196,"""allowed_transforms"": ""event_flag|event_age|auction_pressure|seal_strength|open_board_transition|matched_control"",",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,213,"if source_group in {""plate_fund_probe"", ""advanced_zzshare_probe""}:",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,305,"return ""add_regime_interaction_templates_and_placebo_audit""",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,307,"return ""add_lagged_heat_rank_templates_after_update_time_audit""",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,309,"return ""add_rank_delta_ratio_templates""",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,344,"(""plate_fund_probe"", PLATE_FUND_PROBE / ""plate_fund_completeness_probe.csv""),",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,433,"""plate_fund_and_advanced_probe"": ""probe-only until full historical silver/PIT panel exists"",",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,439,"""silverize plate fund and advanced zzshare probes before selector use"",",membership_or_event_context_reference
src\our_system_phase2\runtime\cn_new_data_asset_integration_v1.py,479,"""- Plate fund and advanced ZZShare probes remain data-engineering backlog, not selector inputs."",",membership_or_event_context_reference
