path,suffix,size_bytes,policy_class,reason,short_positive_sample_rows,short_zero_sample_rows,candidate_level,column_count,sample_rows
reports\phase3cl_bz_fragment_replay_20260622_batch4\phase3bz_fragment_replay_summary.json,.json,2017,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_candidate_progress.csv,.csv,410,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,2
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_candidate_split_horizon_summary.csv,.csv,6944,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,18
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_candidate_train_reward_summary.csv,.csv,2794,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,2
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_incremental_checkpoint_summary.json,.json,447,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_incremental_shard_meta.csv,.csv,434,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,1
reports\phase3cm_checkpoint_smoke_20260623\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,1961,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_train_reward.csv,.csv,2794,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,2
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_train_reward_audit_summary.json,.json,1736,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_checkpoint_smoke_20260623\phase3cm_train_reward_partial.csv,.csv,2794,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,2
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_candidate_progress.csv,.csv,21744,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,200
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_candidate_split_horizon_summary.csv,.csv,239301,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,200
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_candidate_train_reward_summary.csv,.csv,47775,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,56
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_incremental_checkpoint_summary.json,.json,453,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_incremental_shard_meta.csv,.csv,1308,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,4
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,11303,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_train_reward.csv,.csv,47775,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,56
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_train_reward_audit_summary.json,.json,1849,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_from_phase3ct_augmented_hybrid_r3b_20260625\phase3cm_train_reward_partial.csv,.csv,47775,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,56
reports\phase3cm_recover_local_challenger_cem_q20_20260623\phase3cm_candidate_progress.csv,.csv,74544,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,200
reports\phase3cm_recover_local_challenger_cem_q20_20260623\phase3cm_incremental_checkpoint_summary.json,.json,455,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_recover_local_challenger_cem_q20_20260623\phase3cm_incremental_shard_meta.csv,.csv,1197,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,4
reports\phase3cm_recover_local_challenger_cem_q20_20260623\phase3cm_train_reward_partial.csv,.csv,154694,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,50,160
reports\phase3cm_recover_local_rx_typed_q20_20260623\phase3cm_candidate_progress.csv,.csv,96754,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,200
reports\phase3cm_recover_local_rx_typed_q20_20260623\phase3cm_incremental_checkpoint_summary.json,.json,455,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cm_recover_local_rx_typed_q20_20260623\phase3cm_incremental_shard_meta.csv,.csv,1201,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,4
reports\phase3cm_recover_local_rx_typed_q20_20260623\phase3cm_train_reward_partial.csv,.csv,184527,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,50,192
reports\phase3cn_integrated_feedback_smoke_20260623\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,.csv,2542,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,41,2
reports\phase3cn_integrated_feedback_smoke_20260623\phase3cm_reward_fixture\phase3cm_train_reward.csv,.csv,2542,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,41,2
reports\phase3cn_integrated_feedback_smoke_20260623\phase3cm_reward_fixture\phase3cm_train_reward_audit_summary.json,.json,235,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3code_verify_bz_smoke_20260618\phase3bz_candidate_fragment_summary.csv,.csv,1003,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,27,1
reports\phase3code_verify_bz_smoke_20260618\PHASE3BZ_FRAGMENT_REPLAY_AUDIT_20260616.md,.md,1353,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3code_verify_bz_smoke_20260618\phase3bz_fragment_replay_summary.json,.json,2002,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_event_state_topq30_followup_confirm_20260623\phase3cm_train_reward\phase3cm_candidate_split_horizon_summary.csv,.csv,5787,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,12
reports\phase3cp_event_state_topq30_followup_confirm_20260623\phase3cm_train_reward\phase3cm_candidate_train_reward_summary.csv,.csv,1835,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,1
reports\phase3cp_event_state_topq30_followup_confirm_20260623\phase3cm_train_reward\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,1565,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cp_event_state_topq30_followup_confirm_20260623\phase3cm_train_reward\phase3cm_train_reward.csv,.csv,1835,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,1
reports\phase3cp_event_state_topq30_followup_confirm_20260623\phase3cm_train_reward\phase3cm_train_reward_audit_summary.json,.json,1683,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_local_sleep_feedback_fresh_q30_20260624\phase3cm_train_reward\phase3cm_candidate_progress.csv,.csv,71518,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,200
reports\phase3cp_local_sleep_feedback_fresh_q30_20260624\phase3cm_train_reward\phase3cm_incremental_checkpoint_summary.json,.json,455,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_local_sleep_feedback_fresh_q30_20260624\phase3cm_train_reward\phase3cm_incremental_shard_meta.csv,.csv,452,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,1
reports\phase3cp_local_sleep_feedback_fresh_q30_20260624\phase3cm_train_reward\phase3cm_train_reward_partial.csv,.csv,304284,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,50,200
reports\phase3cp_low_turnover_event_state_probe_20260623\phase3cm_train_reward\phase3cm_candidate_split_horizon_summary.csv,.csv,122001,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,200
reports\phase3cp_low_turnover_event_state_probe_20260623\phase3cm_train_reward\phase3cm_candidate_train_reward_summary.csv,.csv,25442,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,24
reports\phase3cp_low_turnover_event_state_probe_20260623\phase3cm_train_reward\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,10148,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cp_low_turnover_event_state_probe_20260623\phase3cm_train_reward\phase3cm_train_reward.csv,.csv,25442,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,24
reports\phase3cp_low_turnover_event_state_probe_20260623\phase3cm_train_reward\phase3cm_train_reward_audit_summary.json,.json,1672,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_real_cm_balanced_loop_20260623\phase3cm_train_reward\phase3cm_candidate_split_horizon_summary.csv,.csv,60724,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,144
reports\phase3cp_real_cm_balanced_loop_20260623\phase3cm_train_reward\phase3cm_candidate_train_reward_summary.csv,.csv,13169,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,12
reports\phase3cp_real_cm_balanced_loop_20260623\phase3cm_train_reward\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,5491,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cp_real_cm_balanced_loop_20260623\phase3cm_train_reward\phase3cm_train_reward.csv,.csv,13169,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,12
reports\phase3cp_real_cm_balanced_loop_20260623\phase3cm_train_reward\phase3cm_train_reward_audit_summary.json,.json,1663,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_real_cm_balanced_topq30_loop_20260623\phase3cm_train_reward\phase3cm_candidate_split_horizon_summary.csv,.csv,60632,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,144
reports\phase3cp_real_cm_balanced_topq30_loop_20260623\phase3cm_train_reward\phase3cm_candidate_train_reward_summary.csv,.csv,12974,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,12
reports\phase3cp_real_cm_balanced_topq30_loop_20260623\phase3cm_train_reward\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,5364,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cp_real_cm_balanced_topq30_loop_20260623\phase3cm_train_reward\phase3cm_train_reward.csv,.csv,12974,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,12
reports\phase3cp_real_cm_balanced_topq30_loop_20260623\phase3cm_train_reward\phase3cm_train_reward_audit_summary.json,.json,1670,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_real_cm_small_loop_20260623\phase3cm_train_reward\phase3cm_candidate_split_horizon_summary.csv,.csv,15128,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,36
reports\phase3cp_real_cm_small_loop_20260623\phase3cm_train_reward\phase3cm_candidate_train_reward_summary.csv,.csv,4953,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,4
reports\phase3cp_real_cm_small_loop_20260623\phase3cm_train_reward\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,2701,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cp_real_cm_small_loop_20260623\phase3cm_train_reward\phase3cm_train_reward.csv,.csv,4953,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,4
reports\phase3cp_real_cm_small_loop_20260623\phase3cm_train_reward\phase3cm_train_reward_audit_summary.json,.json,1650,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cp_reward_gated_medium_search_smoke_20260623\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,.csv,43149,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,72,24
reports\phase3cp_reward_gated_medium_search_smoke_20260623\phase3cm_reward_fixture\phase3cm_train_reward.csv,.csv,43149,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,72,24
reports\phase3cp_reward_gated_medium_search_smoke_20260623\phase3cm_reward_fixture\phase3cm_train_reward_audit_summary.json,.json,255,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw2_lan_wide_fresh_realcm_20260626\phase3cm_candidate_train_reward_summary.csv,.csv,377272,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,48,200
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw2_lan_wide_fresh_realcm_20260626\phase3cm_train_reward.csv,.csv,377272,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,48,200
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw2_lan_wide_fresh_realcm_20260626\phase3cm_train_reward_audit_summary.json,.json,17548,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw_lan_turnover_aware_realcm_20260626\phase3cm_candidate_train_reward_summary.csv,.csv,251740,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,48,200
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw_lan_turnover_aware_realcm_20260626\phase3cm_train_reward.csv,.csv,251740,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,48,200
reports\phase3cw_lan_reward_gate_results_20260626\remote_result_pack\phase3cw_lan_turnover_aware_realcm_20260626\phase3cm_train_reward_audit_summary.json,.json,12387,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cx_integrated_train_only_feedback_smoke_20260626\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,.csv,2878,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,2
reports\phase3cx_integrated_train_only_feedback_smoke_20260626\phase3cm_reward_fixture\phase3cm_train_reward.csv,.csv,2878,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,47,2
reports\phase3cx_integrated_train_only_feedback_smoke_20260626\phase3cm_reward_fixture\phase3cm_train_reward_audit_summary.json,.json,235,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_candidate_progress.csv,.csv,17032,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,150
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_candidate_split_horizon_summary.csv,.csv,339937,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,19,200
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_candidate_train_reward_summary.csv,.csv,58987,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,53,50
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_incremental_checkpoint_summary.json,.json,453,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_incremental_shard_meta.csv,.csv,818,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,12,3
reports\phase3cz_lan77_cm_train_reward_20260627\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,12448,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_train_reward.csv,.csv,58987,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,53,50
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_train_reward_audit_summary.json,.json,1794,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3cz_lan77_cm_train_reward_20260627\phase3cm_train_reward_partial.csv,.csv,58987,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,53,50
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_candidate_progress.csv,.csv,410,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,2
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_candidate_split_horizon_summary.csv,.csv,7303,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,23,18
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_candidate_train_reward_summary.csv,.csv,3517,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,62,2
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_incremental_checkpoint_summary.json,.json,447,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_incremental_shard_meta.csv,.csv,476,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,13,1
reports\phase3dn_rankic_reward_smoke_20260628\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,2322,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_train_reward.csv,.csv,3517,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,62,2
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_train_reward_audit_summary.json,.json,1929,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dn_rankic_reward_smoke_20260628\phase3cm_train_reward_partial.csv,.csv,3517,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,62,2
reports\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,.csv,8138012,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,90,200
reports\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,.csv,8138012,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,90,200
reports\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward_audit_summary.json,.json,257,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,.csv,16664929,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,90,200
reports\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward.csv,.csv,16664929,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,90,200
reports\phase3do_d_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_train_reward_audit_summary.json,.json,257,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_candidate_progress.csv,.csv,408,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,2
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_candidate_split_horizon_summary.csv,.csv,8253,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,23,18
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_candidate_train_reward_summary.csv,.csv,3955,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,70,2
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_incremental_checkpoint_summary.json,.json,447,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_incremental_shard_meta.csv,.csv,838,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,24,1
reports\phase3dp_regime_cache_smoke_20260629\PHASE3CM_TRAIN_PORTFOLIO_SORTINO_REWARD_AUDIT_20260623.md,.md,2423,long_short_spread_proxy_only,markdown mentions top/bottom or long-short,0,0,False,,
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_train_reward.csv,.csv,3955,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,70,2
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_train_reward_audit_summary.json,.json,2664,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dp_regime_cache_smoke_20260629\phase3cm_train_reward_partial.csv,.csv,3955,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,70,2
reports\phase3dw_local_shadow_cm_reward_20260702\phase3cm_candidate_progress.csv,.csv,8726,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,64
reports\phase3dw_local_shadow_cm_reward_20260702\phase3cm_incremental_checkpoint_summary.json,.json,455,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
reports\phase3dw_local_shadow_cm_reward_20260702\phase3cm_incremental_shard_meta.csv,.csv,2,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,0,0
reports\phase3dw_local_shadow_cm_reward_20260702\phase3cm_train_reward_partial.csv,.csv,59852,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,True,73,64
reports\phase3dw_local_shadow_cm_reward_b2_20260702\phase3cm_candidate_progress.csv,.csv,51287,legacy_assume_long_short_recheck_required,Phase3CM/BZ/EG/EH artifact lacks explicit long-only proof,0,0,False,11,200
reports\phase3dw_local_shadow_cm_reward_b2_20260702\phase3cm_incremental_checkpoint_summary.json,.json,458,legacy_assume_long_short_recheck_required,risky phase json without long-only marker,0,0,False,,
